Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																															20.918955									0.000000	9.323232																																																						0.000000	18.791473	0.000000	0.000000																																					-49.033660	
 1 	 2																																																															21.159609									0.000000	9.379733																																																						0.000000	18.791473	0.000000	0.000000																																					-49.330815	
 1 	 3																																																															21.116646									0.000000	9.369646																																																						0.000000	18.791473	0.000000	0.000000																																					-49.277765	
 1 	 4																																																															33.286969									0.000000	9.397009																																																						0.000000	6.737697	0.000000	0.000000																																					-49.421675	
 1 	 5																																																															40.159299									0.000000	9.428618																																																						0.000000	0.000000	0.000000	0.000000																																					-49.587916	
 1 	 6																																																															40.417177									0.000000	9.489162																																																						0.000000	0.000000	0.000000	0.000000																																					-49.906339	
 1 	 7																																																															42.091778									0.000000	10.547369																																																						-1.610586	0.000000	-1.043177	0.000000																																					-49.985383	
 1 	 8																																																															38.791251									0.000000	8.447864																																																						0.000000	1.597315	0.000000	1.034581																																					-49.871011	
 1 	 9																																																															34.408670									0.356399	7.722083																																																						0.000000	0.000000	0.000000	0.000000																																					-42.487153	
 1 	 10																																																															26.888206									0.713315	5.599510																																																						0.000000	0.000000	0.000000	0.000000																																					-33.201031	
 1 	 11																																																															20.297058									1.064335	3.701017																																																						0.000000	0.000000	0.000000	0.000000																																					-25.062411	
 1 	 12																																																															26.641281									1.201089	2.323279																																																						-12.441622	0.000000	-0.616871	0.426306																																					-17.533460	
 1 	 13																																																															29.280580									0.000000	3.505814																																																						-18.791473	0.000000	-1.043177	0.000000																																					-12.951744	
 1 	 14																																																															27.668944									0.000000	3.127434																																																						-18.791473	0.000000	-1.043177	0.000000																																					-10.961727	
 1 	 15																																																															18.313193									0.921885	2.303474																																																						-9.018630	0.000000	-1.043177	0.000000																																					-11.476745	
 1 	 16																																																															0.000000									0.666148	1.317507																																																						0.000000	12.892184	0.000000	1.043177																																					-15.919017	
 1 	 17																																																															2.522743									0.000000	3.960984																																																						0.000000	18.791473	0.000000	1.043177																																					-26.318378	
 1 	 18																																																															7.092875									0.000000	5.033961																																																						0.000000	18.791473	0.000000	1.043177																																					-31.961487	
 1 	 19																																																															27.478502									0.000000	6.347042																																																						0.000000	0.000000	0.000000	0.104373																																					-33.929917	
 1 	 20																																																															42.782059									0.000000	6.833060																																																						-13.678018	0.000000	0.000000	0.000000																																					-35.937101	
 1 	 21																																																															42.782059									0.000000	7.116957																																																						-12.468814	0.000000	0.000000	0.000000																																					-37.430202	
 1 	 22																																																															42.782059									0.000000	7.326830																																																						-11.574902	0.000000	0.000000	0.000000																																					-38.533988	
 1 	 23																																																															42.782059									0.000000	7.518551																																																						-10.758304	0.000000	0.000000	0.000000																																					-39.542306	
 1 	 24																																																															42.782059									0.000000	7.598169																																																						-10.419188	0.000000	0.000000	0.000000																																					-39.961040	
 2 	 1																																																															42.782059									0.000000	11.761187																																																						0.000000	5.555843	-0.412393	0.000000																																					-59.686696	
 2 	 2																																																															42.782059									0.000000	11.761187																																																						0.000000	6.032367	-0.300515	0.000000																																					-60.275098	
 2 	 3																																																															42.782059									0.000000	11.761187																																																						0.000000	6.566303	-0.175157	0.000000																																					-60.934392	
 2 	 4																																																															42.782059									0.000000	11.761187																																																						0.000000	7.206261	-0.024907	0.000000																																					-61.724600	
 2 	 5																																																															42.782059									0.000000	11.761187																																																						0.000000	7.725844	0.000000	0.097081																																					-62.366171	
 2 	 6																																																															42.782059									0.000000	11.761187																																																						0.000000	8.262556	0.000000	0.223090																																					-63.028892	
 2 	 7																																																															42.782059									0.000000	11.761187																																																						0.000000	8.700996	0.000000	0.326027																																					-63.570269	
 2 	 8																																																															42.782059									0.000000	11.761187																																																						0.000000	8.291262	0.000000	0.229830																																					-63.064338	
 2 	 9																																																															42.782059									0.049132	10.769340																																																						0.000000	3.297043	0.000000	0.000000																																					-56.897574	
 2 	 10																																																															42.782059									0.059841	9.540548																																																						-1.891134	0.000000	0.000000	0.000000																																					-50.491315	
 2 	 11																																																															42.782059									0.000000	8.367300																																																						-7.143230	0.000000	0.000000	0.000000																																					-44.006129	
 2 	 12																																																															42.782059									0.000000	7.502646																																																						-10.826051	0.000000	0.000000	0.000000																																					-39.458654	
 2 	 13																																																															42.782059									0.254288	6.819378																																																						-12.653204	0.000000	0.000000	0.000000																																					-37.202521	
 2 	 14																																																															42.782059									0.026348	6.928700																																																						-13.158434	0.000000	0.000000	0.000000																																					-36.578672	
 2 	 15																																																															42.782059									0.137170	6.924162																																																						-12.705737	0.000000	0.000000	0.000000																																					-37.137655	
 2 	 16																																																															42.782059									0.000000	7.505094																																																						-10.815621	0.000000	0.000000	0.000000																																					-39.471532	
 2 	 17																																																															42.782059									0.003864	8.578476																																																						-6.227309	0.000000	0.000000	0.000000																																					-45.137090	
 2 	 18																																																															42.782059									0.000000	9.549707																																																						-2.107005	0.000000	0.000000	0.000000																																					-50.224762	
 2 	 19																																																															42.782059									0.000000	9.860069																																																						-0.785082	0.000000	0.000000	0.000000																																					-51.857046	
 2 	 20																																																															42.782059									0.000000	10.097305																																																						0.000000	0.225378	0.000000	0.000000																																					-53.104743	
 2 	 21																																																															42.782059									0.000000	10.321556																																																						0.000000	1.180531	0.000000	0.000000																																					-54.284147	
 2 	 22																																																															42.782059									0.000000	10.470885																																																						0.000000	1.816566	0.000000	0.000000																																					-55.069510	
 2 	 23																																																															42.782059									0.000000	10.542191																																																						0.000000	2.120278	0.000000	0.000000																																					-55.444528	
 2 	 24																																																															42.782059									0.000000	10.650048																																																						0.000000	2.579674	0.000000	0.000000																																					-56.011781	
 3 	 1																																																															38.050895									0.000000	8.638875																																																						-5.698550	0.000000	-1.043177	0.000000																																					-39.948044	
 3 	 2																																																															32.366080									0.000000	8.773197																																																						0.000000	0.558381	-1.043177	0.000000																																					-40.654481	
 3 	 3																																																															32.348996									0.000000	8.887771																																																						0.000000	1.063472	-1.043177	0.000000																																					-41.257061	
 3 	 4																																																															42.782059									0.000000	8.969186																																																						-9.022820	0.000000	-1.043177	0.000000																																					-41.685248	
 3 	 5																																																															34.607778									0.000000	8.065066																																																						-0.619367	0.000000	-0.085252	0.000000																																					-41.968225	
