Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 2 	 15																																																																												24.568033	0.000000	8.189344	0.000000	0.000000	49.136066																																																																																						-81.893443	
 2 	 16																																																																												25.647978	0.000000	8.549326	0.000000	0.000000	51.295956																																																																																						-85.493260	
 2 	 17																																																																												25.647978	0.000000	8.549326	0.000000	0.000000	51.295956																																																																																						-85.493260	
 2 	 18																																																																												18.898522	0.000000	6.299507	0.000000	0.000000	37.797044																																																																																						-62.995074	
 2 	 19																																																																												13.498912	0.000000	4.499637	0.000000	0.000000	26.997823																																																																																						-44.996372	
 2 	 20																																																																												10.124184	0.000000	3.374728	0.000000	0.000000	20.248367																																																																																						-33.747279	
 2 	 21																																																																												6.749456	0.000000	2.249819	0.000000	0.000000	13.498912																																																																																						-22.498186	
 2 	 22																																																																												4.319654	0.000000	1.439885	0.000000	0.000000	8.639308																																																																																						-14.398847	
 2 	 23																																																																												2.699782	0.000000	0.899927	0.000000	0.000000	5.399565																																																																																						-8.999274	
 2 	 24																																																																												1.079913	0.000000	0.359971	0.000000	0.000000	2.159826																																																																																						-3.599710	
 3 	 1																																																																												0.674946	0.000000	0.224982	0.000000	0.000000	1.349891																																																																																						-2.249819	
 3 	 2																																																																												0.269978	0.000000	0.089993	0.000000	0.000000	0.539956																																																																																						-0.899927	
 3 	 3																																																																												0.134989	0.000000	0.044996	0.000000	0.000000	0.269978																																																																																						-0.449964	
 3 	 4																																																																												1.619872	0.000000	0.539957	0.000000	0.000000	3.239743																																																																																						-5.399572	
 3 	 5																																																																												4.319654	0.000000	1.439885	0.000000	0.000000	8.639308																																																																																						-14.398847	
 3 	 6																																																																												10.799129	0.000000	3.599710	0.000000	0.000000	21.598259																																																																																						-35.997098	
 3 	 7																																																																												20.923290	0.000000	6.974430	0.000000	0.000000	41.846580																																																																																						-69.744300	
 3 	 8																																																																												18.223485	0.000000	6.074495	0.000000	0.000000	36.446969																																																																																						-60.744949	
 3 	 9																																																																												16.873639	0.000000	5.624546	0.000000	0.000000	33.747279																																																																																						-56.245465	
 3 	 10																																																																												18.898522	0.000000	6.299507	0.000000	0.000000	37.797044																																																																																						-62.995074	
 3 	 11																																																																												21.598213	0.000000	7.199404	0.000000	0.000000	43.196425																																																																																						-71.994042	
 3 	 12																																																																												23.758103	0.000000	7.919368	0.000000	0.000000	47.516206																																																																																						-79.193676	
 3 	 13																																																																												21.598213	0.000000	7.199404	0.000000	0.000000	43.196425																																																																																						-71.994042	
 3 	 14																																																																												21.868228	0.000000	7.289409	0.000000	0.000000	43.736455																																																																																						-72.894092	
 3 	 15																																																																												24.568033	0.000000	8.189344	0.000000	0.000000	49.136066																																																																																						-81.893443	
 3 	 16																																																																												25.647978	0.000000	8.549326	0.000000	0.000000	51.295956																																																																																						-85.493260	
 3 	 17																																																																												25.647978	0.000000	8.549326	0.000000	0.000000	51.295956																																																																																						-85.493260	
 3 	 18																																																																												18.898522	0.000000	6.299507	0.000000	0.000000	37.797044																																																																																						-62.995074	
 3 	 19																																																																												13.498912	0.000000	4.499637	0.000000	0.000000	26.997823																																																																																						-44.996372	
 3 	 20																																																																												10.124184	0.000000	3.374728	0.000000	0.000000	20.248367																																																																																						-33.747279	
 3 	 21																																																																												6.749456	0.000000	2.249819	0.000000	0.000000	13.498912																																																																																						-22.498186	
 3 	 22																																																																												4.319654	0.000000	1.439885	0.000000	0.000000	8.639308																																																																																						-14.398847	
 3 	 23																																																																												2.699782	0.000000	0.899927	0.000000	0.000000	5.399565																																																																																						-8.999274	
 3 	 24																																																																												1.079913	0.000000	0.359971	0.000000	0.000000	2.159826																																																																																						-3.599710	
 4 	 1																																																																												0.674946	0.000000	0.224982	0.000000	0.000000	1.349891																																																																																						-2.249819	
 4 	 2																																																																												0.269978	0.000000	0.089993	0.000000	0.000000	0.539956																																																																																						-0.899927	
 4 	 3																																																																												0.134989	0.000000	0.044996	0.000000	0.000000	0.269978																																																																																						-0.449964	
 4 	 4																																																																												1.619872	0.000000	0.539957	0.000000	0.000000	3.239743																																																																																						-5.399572	
 4 	 5																																																																												4.319654	0.000000	1.439885	0.000000	0.000000	8.639308																																																																																						-14.398847	
 4 	 6																																																																												10.799129	0.000000	3.599710	0.000000	0.000000	21.598259																																																																																						-35.997098	
 4 	 7																																																																												20.923290	0.000000	6.974430	0.000000	0.000000	41.846580																																																																																						-69.744300	
 4 	 8																																																																												18.223485	0.000000	6.074495	0.000000	0.000000	36.446969																																																																																						-60.744949	
 4 	 9																																																																												16.873639	0.000000	5.624546	0.000000	0.000000	33.747279																																																																																						-56.245465	
 4 	 10																																																																												18.898522	0.000000	6.299507	0.000000	0.000000	37.797044																																																																																						-62.995074	
 4 	 11																																																																												21.598213	0.000000	7.199404	0.000000	0.000000	43.196425																																																																																						-71.994042	
 4 	 12																																																																												23.758103	0.000000	7.919368	0.000000	0.000000	47.516206																																																																																						-79.193676	
 4 	 13																																																																												21.598213	0.000000	7.199404	0.000000	0.000000	43.196425																																																																																						-71.994042	
 4 	 14																																																																												21.868228	0.000000	7.289409	0.000000	0.000000	43.736455																																																																																						-72.894092	
 4 	 15																																																																												24.568033	0.000000	8.189344	0.000000	0.000000	49.136066																																																																																						-81.893443	
 4 	 16																																																																												25.647978	0.000000	8.549326	0.000000	0.000000	51.295956																																																																																						-85.493260	
 4 	 17																																																																												25.647978	0.000000	8.549326	0.000000	0.000000	51.295956																																																																																						-85.493260	
 4 	 18																																																																												18.898522	0.000000	6.299507	0.000000	0.000000	37.797044																																																																																						-62.995074	
 4 	 19																																																																												13.498912	0.000000	4.499637	0.000000	0.000000	26.997823																																																																																						-44.996372	
 4 	 20																																																																												10.124184	0.000000	3.374728	0.000000	0.000000	20.248367																																																																																						-33.747279	
 4 	 21																																																																												6.749456	0.000000	2.249819	0.000000	0.000000	13.498912																																																																																						-22.498186	
 4 	 22																																																																												4.319654	0.000000	1.439885	0.000000	0.000000	8.639308																																																																																						-14.398847	
 4 	 23																																																																												2.699782	0.000000	0.899927	0.000000	0.000000	5.399565																																																																																						-8.999274	
 4 	 24																																																																												1.079913	0.000000	0.359971	0.000000	0.000000	2.159826																																																																																						-3.599710	
 5 	 1																																																																												0.674946	0.000000	0.224982	0.000000	0.000000	1.349891																																																																																						-2.249819	
 5 	 2																																																																												0.269978	0.000000	0.089993	0.000000	0.000000	0.539956																																																																																						-0.899927	
 5 	 3																																																																												0.134989	0.000000	0.044996	0.000000	0.000000	0.269978																																																																																						-0.449964	
 5 	 4																																																																												1.619872	0.000000	0.539957	0.000000	0.000000	3.239743																																																																																						-5.399572	
 5 	 5																																																																												4.319654	0.000000	1.439885	0.000000	0.000000	8.639308																																																																																						-14.398847	
 5 	 6																																																																												10.799129	0.000000	3.599710	0.000000	0.000000	21.598259																																																																																						-35.997098	
 5 	 7																																																																												20.923290	0.000000	6.974430	0.000000	0.000000	41.846580																																																																																						-69.744300	
 5 	 8																																																																												18.223485	0.000000	6.074495	0.000000	0.000000	36.446969																																																																																						-60.744949	
 5 	 9																																																																												16.873639	0.000000	5.624546	0.000000	0.000000	33.747279																																																																																						-56.245465	
 5 	 10																																																																												18.898522	0.000000	6.299507	0.000000	0.000000	37.797044																																																																																						-62.995074	
 5 	 11																																																																												21.598213	0.000000	7.199404	0.000000	0.000000	43.196425																																																																																						-71.994042	
 5 	 12																																																																												23.758103	0.000000	7.919368	0.000000	0.000000	47.516206																																																																																						-79.193676	
 5 	 13																																																																												21.598213	0.000000	7.199404	0.000000	0.000000	43.196425																																																																																						-71.994042	
 5 	 14																																																																												21.868228	0.000000	7.289409	0.000000	0.000000	43.736455																																																																																						-72.894092	
 5 	 15																																																																												24.568033	0.000000	8.189344	0.000000	0.000000	49.136066																																																																																						-81.893443	
 5 	 16																																																																												25.647978	0.000000	8.549326	0.000000	0.000000	51.295956																																																																																						-85.493260	
 5 	 17																																																																												25.647978	0.000000	8.549326	0.000000	0.000000	51.295956																																																																																						-85.493260	
 5 	 18																																																																												18.898522	0.000000	6.299507	0.000000	0.000000	37.797044																																																																																						-62.995074	
 5 	 19																																																																												13.498912	0.000000	4.499637	0.000000	0.000000	26.997823																																																																																						-44.996372	
 5 	 20																																																																												10.124184	0.000000	3.374728	0.000000	0.000000	20.248367																																																																																						-33.747279	
 5 	 21																																																																												6.749456	0.000000	2.249819	0.000000	0.000000	13.498912																																																																																						-22.498186	
 5 	 22																																																																												4.319654	0.000000	1.439885	0.000000	0.000000	8.639308																																																																																						-14.398847	
 5 	 23																																																																												2.699782	0.000000	0.899927	0.000000	0.000000	5.399565																																																																																						-8.999274	
 5 	 24																																																																												1.079913	0.000000	0.359971	0.000000	0.000000	2.159826																																																																																						-3.599710	
 6 	 1																																																																												0.674946	0.000000	0.224982	0.000000	0.000000	1.349891																																																																																						-2.249819	
 6 	 2																																																																												0.269978	0.000000	0.089993	0.000000	0.000000	0.539956																																																																																						-0.899927	
 6 	 3																																																																												0.134989	0.000000	0.044996	0.000000	0.000000	0.269978																																																																																						-0.449964	
 6 	 4																																																																												1.619872	0.000000	0.539957	0.000000	0.000000	3.239743																																																																																						-5.399572	
 6 	 5																																																																												4.319654	0.000000	1.439885	0.000000	0.000000	8.639308																																																																																						-14.398847	
 6 	 6																																																																												10.799129	0.000000	3.599710	0.000000	0.000000	21.598259																																																																																						-35.997098	
 6 	 7																																																																												20.923290	0.000000	6.974430	0.000000	0.000000	41.846580																																																																																						-69.744300	
 6 	 8																																																																												18.223485	0.000000	6.074495	0.000000	0.000000	36.446969																																																																																						-60.744949	
 6 	 9																																																																												16.873639	0.000000	5.624546	0.000000	0.000000	33.747279																																																																																						-56.245465	
 6 	 10																																																																												18.898522	0.000000	6.299507	0.000000	0.000000	37.797044																																																																																						-62.995074	
 6 	 11																																																																												21.598213	0.000000	7.199404	0.000000	0.000000	43.196425																																																																																						-71.994042	
 6 	 12																																																																												23.758103	0.000000	7.919368	0.000000	0.000000	47.516206																																																																																						-79.193676	
 6 	 13																																																																												21.598213	0.000000	7.199404	0.000000	0.000000	43.196425																																																																																						-71.994042	
 6 	 14																																																																												21.868228	0.000000	7.289409	0.000000	0.000000	43.736455																																																																																						-72.894092	
 6 	 15																																																																												24.568033	0.000000	8.189344	0.000000	0.000000	49.136066																																																																																						-81.893443	
 6 	 16																																																																												25.647978	0.000000	8.549326	0.000000	0.000000	51.295956																																																																																						-85.493260	
 6 	 17																																																																												25.647978	0.000000	8.549326	0.000000	0.000000	51.295956																																																																																						-85.493260	
 6 	 18																																																																												18.898522	0.000000	6.299507	0.000000	0.000000	37.797044																																																																																						-62.995074	
 6 	 19																																																																												13.498912	0.000000	4.499637	0.000000	0.000000	26.997823																																																																																						-44.996372	
 6 	 20																																																																												10.124184	0.000000	3.374728	0.000000	0.000000	20.248367																																																																																						-33.747279	
 6 	 21																																																																												6.749456	0.000000	2.249819	0.000000	0.000000	13.498912																																																																																						-22.498186	
 6 	 22																																																																												4.319654	0.000000	1.439885	0.000000	0.000000	8.639308																																																																																						-14.398847	
 6 	 23																																																																												2.699782	0.000000	0.899927	0.000000	0.000000	5.399565																																																																																						-8.999274	
 6 	 24																																																																												1.079913	0.000000	0.359971	0.000000	0.000000	2.159826																																																																																						-3.599710	
 7 	 1																																																																												0.674946	0.000000	0.224982	0.000000	0.000000	1.349891																																																																																						-2.249819	
 7 	 2																																																																												0.269978	0.000000	0.089993	0.000000	0.000000	0.539956																																																																																						-0.899927	
 7 	 3																																																																												0.134989	0.000000	0.044996	0.000000	0.000000	0.269978																																																																																						-0.449964	
 7 	 4																																																																												1.619872	0.000000	0.539957	0.000000	0.000000	3.239743																																																																																						-5.399572	
 7 	 5																																																																												4.319654	0.000000	1.439885	0.000000	0.000000	8.639308																																																																																						-14.398847	
 7 	 6																																																																												10.799129	0.000000	3.599710	0.000000	0.000000	21.598259																																																																																						-35.997098	
 7 	 7																																																																												20.923290	0.000000	6.974430	0.000000	0.000000	41.846580																																																																																						-69.744300	
 7 	 8																																																																												18.223485	0.000000	6.074495	0.000000	0.000000	36.446969																																																																																						-60.744949	
 7 	 9																																																																												16.873639	0.000000	5.624546	0.000000	0.000000	33.747279																																																																																						-56.245465	
 7 	 10																																																																												18.898522	0.000000	6.299507	0.000000	0.000000	37.797044																																																																																						-62.995074	
 7 	 11																																																																												21.598213	0.000000	7.199404	0.000000	0.000000	43.196425																																																																																						-71.994042	
 7 	 12																																																																												23.758103	0.000000	7.919368	0.000000	0.000000	47.516206																																																																																						-79.193676	
 7 	 13																																																																												21.598213	0.000000	7.199404	0.000000	0.000000	43.196425																																																																																						-71.994042	
 7 	 14																																																																												21.868228	0.000000	7.289409	0.000000	0.000000	43.736455																																																																																						-72.894092	
 7 	 15																																																																												24.568033	0.000000	8.189344	0.000000	0.000000	49.136066																																																																																						-81.893443	
 7 	 16																																																																												25.647978	0.000000	8.549326	0.000000	0.000000	51.295956																																																																																						-85.493260	
 7 	 17																																																																												25.647978	0.000000	8.549326	0.000000	0.000000	51.295956																																																																																						-85.493260	
 7 	 18																																																																												18.898522	0.000000	6.299507	0.000000	0.000000	37.797044																																																																																						-62.995074	
 7 	 19																																																																												13.498912	0.000000	4.499637	0.000000	0.000000	26.997823																																																																																						-44.996372	
 7 	 20																																																																												10.124184	0.000000	3.374728	0.000000	0.000000	20.248367																																																																																						-33.747279	
 7 	 21																																																																												6.749456	0.000000	2.249819	0.000000	0.000000	13.498912																																																																																						-22.498186	
 7 	 22																																																																												4.319654	0.000000	1.439885	0.000000	0.000000	8.639308																																																																																						-14.398847	
 7 	 23																																																																												2.699782	0.000000	0.899927	0.000000	0.000000	5.399565																																																																																						-8.999274	
 7 	 24																																																																												1.079913	0.000000	0.359971	0.000000	0.000000	2.159826																																																																																						-3.599710	
 8 	 1																																																																												0.674946	0.000000	0.224982	0.000000	0.000000	1.349891																																																																																						-2.249819	
 8 	 2																																																																												0.269978	0.000000	0.089993	0.000000	0.000000	0.539956																																																																																						-0.899927	
 8 	 3																																																																												0.134989	0.000000	0.044996	0.000000	0.000000	0.269978																																																																																						-0.449964	
 8 	 4																																																																												1.619872	0.000000	0.539957	0.000000	0.000000	3.239743																																																																																						-5.399572	
 8 	 5																																																																												4.319654	0.000000	1.439885	0.000000	0.000000	8.639308																																																																																						-14.398847	
 8 	 6																																																																												10.799129	0.000000	3.599710	0.000000	0.000000	21.598259																																																																																						-35.997098	
 8 	 7																																																																												20.923290	0.000000	6.974430	0.000000	0.000000	41.846580																																																																																						-69.744300	
 8 	 8																																																																												18.223485	0.000000	6.074495	0.000000	0.000000	36.446969																																																																																						-60.744949	
 8 	 9																																																																												16.873639	0.000000	5.624546	0.000000	0.000000	33.747279																																																																																						-56.245465	
 8 	 10																																																																												18.898522	0.000000	6.299507	0.000000	0.000000	37.797044																																																																																						-62.995074	
 8 	 11																																																																												21.598213	0.000000	7.199404	0.000000	0.000000	43.196425																																																																																						-71.994042	
 8 	 12																																																																												23.758103	0.000000	7.919368	0.000000	0.000000	47.516206																																																																																						-79.193676	
 8 	 13																																																																												21.598213	0.000000	7.199404	0.000000	0.000000	43.196425																																																																																						-71.994042	
 8 	 14																																																																												21.868228	0.000000	7.289409	0.000000	0.000000	43.736455																																																																																						-72.894092	
 8 	 15																																																																												24.568033	0.000000	8.189344	0.000000	0.000000	49.136066																																																																																						-81.893443	
 8 	 16																																																																												25.647978	0.000000	8.549326	0.000000	0.000000	51.295956																																																																																						-85.493260	
 8 	 17																																																																												25.647978	0.000000	8.549326	0.000000	0.000000	51.295956																																																																																						-85.493260	
 8 	 18																																																																												18.898522	0.000000	6.299507	0.000000	0.000000	37.797044																																																																																						-62.995074	
