Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1	0.000000															0.000000												16.801037			0.000000				49.509177	2.396786	0.000000	0.232112														0.000000	-6.106171										-18.068682											0.000000	-0.330822	-0.025390					-0.028171					0.000000	-0.220516		-0.600353													-8.654872				0.126572									0.000000	0.000000	-6.135283	0.000000					-7.024674	0.220516																																											-22.091267	
 1 	 2	0.000000															0.000000												18.968181			0.000000				48.030997	1.905539	0.000000	0.240476														0.000000	-6.106171										-18.068682											-0.836531	-0.330822	-0.010156					-0.011268					0.000000	-0.088206		-0.600353													-8.654872				0.126572									0.000000	0.000000	-6.135283	0.000000					-7.077598	0.088206																																											-21.440030	
 1 	 3	0.000000															0.000000												20.032832			0.000000				46.257181	1.509725	0.000000	0.241522														0.000000	-6.106171										-18.068682											-0.180466	-0.330822	-0.005078					-0.005634					0.000000	-0.044103		-0.600353													-8.654872				0.126572									0.000000	0.156000	-6.135283	0.000000					-7.095239	0.044103																																											-21.141233	
 1 	 4	0.000000															0.000000												20.032832			0.000000				42.689840	1.376744	0.000000	0.240476														0.000000	-6.106171										-18.068682											0.000000	-0.330822	-0.060937					-0.067610					0.000000	-0.529238		-0.600353													-5.452891				0.126572									0.000000	0.156000	-6.135283	0.000000					-6.901185	0.529238																																											-20.898531	
 1 	 5	0.000000															0.000000												20.032832			0.000000				39.339299	1.478435	0.000000	0.238385														0.000000	-6.106171										-18.068682											0.000000	-0.330822	-0.162499					-0.180292					0.000000	-1.411300		-0.600353													-2.196710				0.126572									0.000000	0.156000	-6.135283	0.000000					-6.548360	1.411300																																											-21.042351	
 1 	 6	0.000000															0.000000												20.032832			0.000000				36.008466	1.630190	0.000000	0.230021														0.000000	-4.782212										-18.068682											0.000000	-0.330822	-0.406247					-0.450730					0.000000	-3.528248		-0.600353													0.000000				0.126572									0.000000	0.156000	-6.135283	0.000000					-5.701581	3.528248																																											-21.708172	
 1 	 7	0.000000															0.000000												20.032832			0.000000				33.485706	1.827315	0.000000	0.227930														0.000000	-0.453574										-18.068682											0.000000	-0.330822	-0.787102					-0.873288					0.000000	-6.835973		-0.600353													0.000000				0.126572									0.000000	0.156000	-6.135283	0.000000					-4.378491	6.835973																																											-24.228759	
 1 	 8	0.000000															0.000000												20.032832			0.001948				28.144548	2.027569	0.000000	0.225839														0.000000	0.000000										-18.068682											0.000000	-0.330822	-0.685540					-0.760605					0.000000	-5.953904		-0.600353													0.000000				0.126572									0.000000	0.156000	-0.162214	0.000000					-4.731319	5.953904																																											-25.375773	
 1 	 9	0.000000															0.000000												20.032832			0.003071				23.355245	2.230951	0.000000	0.257205														0.000000	0.000000										-18.068682											0.000000	-0.330822	-0.634761					-0.704266					0.000000	-5.512888		-0.600353													0.000000				0.126572									0.000000	0.156000	0.000000	0.237428					0.000000	5.512888																																											-26.060421	
 1 	 10	0.000000															0.000000												20.032832			0.005853				22.685137	2.423382	0.000000	0.261387														0.000000	0.000000										-18.068682											0.000000	-0.330822	-0.710934					-0.788779					0.000000	-6.174449		-0.600353													0.000000				0.126572									0.000000	0.156000	0.000000	1.257785					0.000000	6.174449																																											-26.449379	
 1 	 11	0.000000															0.000000												20.032832			0.006272				25.602079	2.598604	0.000000	0.262433														0.000000	0.000000										-18.068682											0.000000	-0.330822	-0.812492					-0.901458					0.000000	-7.056481		-0.600353													0.000000				0.126572									0.000000	0.156000	0.000000	0.000000					-1.489633	7.056481																																											-26.581352	
 1 	 12	0.000000															0.000000												20.032832			0.006634				25.799169	3.031966	0.000000	0.262433														0.000000	0.000000										-18.068682											0.000000	-0.330822	-0.893744					-0.991607					0.000000	-7.762152		-0.600353													0.000000				0.126572									0.000000	0.156000	0.000000	0.000000					-1.787712	7.762152																																											-26.742687	
 1 	 13	0.000000															0.000000												20.032832			0.006079				23.079318	3.656194	0.000000	0.248841														0.000000	0.000000										-18.068682											0.000000	-0.330822	-0.812492					-0.901458					0.000000	-7.056481		-0.600353													0.000000				0.126572									0.000000	0.156000	0.000000	0.080993					0.000000	7.056481																																											-26.673022	
 1 	 14	0.000000															0.000000												20.032832			0.003501				19.847031	4.277293	0.000000	0.246750														0.000000	0.000000										-18.068682											0.000000	-0.330822	-0.822650					-0.912728					0.000000	-7.144699		-0.600353													0.000000				0.126572									0.000000	0.156000	0.000000	2.523417					0.000000	7.144699																																											-26.478162	
 1 	 15	0.000000															0.000000												20.032832			0.001031				21.620847	4.831120	0.044042	0.248841														0.000000	0.000000										-18.068682											0.000000	-0.330822	-0.924212					-1.025411					0.000000	-8.026769		-0.600353													0.000000				0.126572									-0.044042	0.156000	0.000000	0.272161					0.000000	8.026769																																											-26.339924	
 1 	 16	0.000000															0.000000												20.032832			0.000000				24.616625	5.363044	0.044042	0.248841														0.000000	0.000000										-18.068682											0.000000	-0.330822	-0.964838					-1.070486					0.000000	-8.379604		-0.600353													0.000000				0.126572									-0.044042	0.156000	0.000000	0.000000					-3.383266	8.379604																																											-26.125467	
 1 	 17	0.000000															0.000000												20.032832			0.000000				25.050225	5.761987	0.044042	0.251977														0.000000	0.000000										-18.068682											0.000000	-0.330822	-0.964838					-1.070486					0.000000	-8.379604		-0.600353													0.000000				0.126572									-0.044042	0.156000	0.000000	0.000000					-3.532049	8.379604																																											-26.812363	
 1 	 18	0.000000															0.000000												20.032832			0.000000				23.572045	5.722875	0.044042	0.269752														0.000000	0.000000										-18.068682											0.000000	-0.330822	-0.710934					-0.788779					0.000000	-6.174449		-0.600353													0.000000				0.126572									-0.044042	0.156000	0.000000	0.000000					-1.509150	6.174449																																											-27.871355	
 1 	 19	0.000000															0.000000												20.032832			0.000000				22.034737	5.305158	0.044042	0.281253														0.000000	0.000000										-18.068682											0.000000	-0.330822	-0.507809					-0.563413					0.000000	-4.410310		-0.600353													0.000000				0.126572									-0.044042	0.156000	0.000000	0.000000					-0.320355	4.410310																																											-27.545120	
 1 	 20	0.000000															0.000000												20.032832			0.000000				20.241212	4.730993	0.044042	0.283344														0.000000	0.000000										-18.068682											0.000000	-0.330822	-0.380856					-0.422559					0.000000	-3.307733		-0.600353													0.000000				0.126572									-0.044042	0.156000	0.000000	3.450186					-2.046426	3.307733																																											-27.171441	
 1 	 21	0.000000															0.000000												20.032832			0.000000				18.802450	4.106765	0.000000	0.284389														0.000000	0.000000										-18.068682											0.000000	-0.330822	-0.253904					-0.281706					0.000000	-2.205155		-0.600353													0.000000				0.126572									0.000000	0.156000	0.000000	6.135283					-3.894440	2.205155																																											-26.214384	
 1 	 22	0.000000															0.000000												20.032832			0.000000				17.619906	3.371458	0.000000	0.263478														0.000000	0.000000										-18.068682											0.000000	-0.330822	-0.162499					-0.180292					0.000000	-1.411300		-0.600353													0.000000				0.126572									0.000000	0.156000	0.000000	6.135283					-3.969370	1.411300																																											-24.393513	
 1 	 23	0.000000															0.000000												20.032832			0.000000				17.186307	2.559492	0.000000	0.235249														0.000000	0.000000										-18.068682											0.000000	-0.330822	-0.101562					-0.112683					0.000000	-0.882062		-0.600353													0.000000				0.126572									0.000000	0.156000	0.000000	6.135283					-4.463928	0.882062																																											-22.753706	
 1 	 24	0.000000															0.000000												20.032832			0.000000				16.713289	1.897717	0.000000	0.226884														0.000000	0.000000										-18.068682											0.000000	-0.330822	-0.040625					-0.045073					0.000000	-0.352825		-0.600353													0.000000				0.126572									0.000000	0.156000	0.000000	6.135283					-4.998031	0.352825																																											-21.204992	
 2 	 1	0.000000															0.000000												0.000000			0.000000				48.366052	6.462875	0.000000	0.208064														0.000000	-6.106171										-17.888282											0.000000	-0.330822	-0.025390					-0.028171					0.000000	-0.220516		-0.600353													-2.248787				0.126572									0.000000	0.000000	0.000000	0.000000					-7.024674	0.220516																																											-20.910913	
 2 	 2	0.000000															0.000000												0.000000			0.000000				46.296600	6.065496	0.000000	0.207019														0.000000	-6.106171										-16.224485											0.000000	-0.330822	-0.010156					-0.011268					0.000000	-0.088206		-0.600353													-2.248787				0.126572									0.000000	0.000000	0.000000	0.000000					-7.077598	0.088206																																											-20.086047	
 2 	 3	0.000000															0.000000												0.000000			0.000000				44.030057	5.790147	0.000000	0.208064														0.000000	-6.106171										-14.144668											0.000000	-0.330822	-0.005078					-0.005634					0.000000	-0.044103		-0.600353													-2.248787				0.126572									0.000000	0.000000	0.000000	0.000000					-7.095239	0.044103																																											-19.618089	
 2 	 4	0.000000															0.000000												0.000000			0.000000				41.389042	5.409978	0.000000	0.207019														0.000000	-6.106171										-12.247001											0.000000	-0.330822	-0.060937					-0.067610					0.000000	-0.529238		-0.600353													-1.398148				0.126572									0.000000	0.000000	0.000000	0.000000					-6.901185	0.529238																																											-19.420385	
 2 	 5	0.000000															0.000000												0.000000			0.000000				39.832025	5.222240	0.000000	0.208064														0.000000	-6.106171										-11.798091											0.000000	-0.330822	-0.162499					-0.180292					0.000000	-1.411300		-0.600353													0.000000				0.126572									0.000000	0.000000	0.000000	0.000000					-6.548360	1.411300																																											-19.662315	
 2 	 6	0.000000															0.000000												0.000000			0.000000				39.871444	5.388076	0.000000	0.208064														0.000000	-6.106171										-11.767929											0.000000	-0.330822	-0.406247					-0.450730					0.000000	-3.528248		-0.600353													0.000000				0.126572									0.000000	0.000000	0.000000	0.000000					-5.701581	3.528248																																											-20.230323	
 2 	 7	0.000000															0.000000												0.000000			0.000539				43.261403	5.700972	0.000000	0.209110														0.000000	-6.106171										-13.466158											0.000000	-0.330822	-0.787102					-0.873288					0.000000	-6.835973		-0.600353													0.000000				0.126572									0.000000	0.000000	0.000000	0.000000					-4.378491	6.835973																																											-22.756210	
 2 	 8	0.000000															0.000000												0.000000			0.000399				50.947940	5.937209	0.044042	0.214338														0.000000	-6.106171										-14.073301											0.000000	-0.330822	-0.685540					-0.760605					0.000000	-5.953904		-0.600353													-4.730264				0.126572									-0.044042	0.000000	0.000000	0.000000					-4.731319	5.953904																																											-25.208084	
 2 	 9	0.000000															0.000000												0.000000			0.001374				59.363711	5.766680	0.044042	0.230021														0.000000	-6.106171										-13.315074											0.000000	-0.330822	-0.634761					-0.704266					0.000000	-5.512888		-0.600353													-5.798843				0.126572									-0.044042	0.000000	-6.135283	0.000000					-4.907725	5.512888																																											-26.955062	
 2 	 10	0.000000															0.000000												0.000000			0.001692				63.916506	5.158097	0.044042	0.228975														0.000000	-6.106171										-13.849333											0.000000	-0.330822	-0.710934					-0.788779					0.000000	-6.174449		-0.600353													-8.654872				0.126572									-0.044042	0.000000	-6.135283	0.000000					-4.643100	6.174449																																											-27.612195	
 2 	 11	0.000000															0.000000												0.000000			0.000910				65.099050	4.760718	0.044042	0.259296														0.000000	-6.106171										-14.778919											0.000000	-0.330822	-0.812492					-0.901458					0.000000	-7.056481		-0.600353													-8.654872				0.126572									-0.044042	0.000000	-6.135283	0.000000					-4.290288	7.056481																																											-27.635889	
 2 	 12	0.000000															0.000000												0.000000			0.001444				64.921668	4.621479	0.044042	0.262433														0.000000	-6.106171										-14.305548											0.000000	-0.330822	-0.893744					-0.991607					0.000000	-7.762152		-0.600353													-8.654872				0.126572									-0.044042	0.000000	-6.135283	0.000000					-4.008019	7.762152																																											-27.907179	
 2 	 13	0.000000															0.000000												0.000000			0.001631				64.527487	4.743509	0.044042	0.256160														0.000000	-6.106171										-14.543894											0.000000	-0.330822	-0.812492					-0.901458					0.000000	-7.056481		-0.600353													-8.026718				0.126572									-0.044042	0.000000	-6.135283	0.000000					-4.290288	7.056481																																											-27.907881	
 2 	 14	0.000000															0.000000												0.000000			0.000582				62.793089	5.325496	0.044042	0.253023														0.000000	-6.106171										-16.193832											0.000000	-0.330822	-0.822650					-0.912728					0.000000	-7.144699		-0.600353													-7.449867				0.126572									-0.044042	0.000000	-3.878469	0.000000					-4.255000	7.144699																																											-27.948871	
 2 	 15	0.000000															0.000000												0.000000			0.001133				57.116878	6.162494	0.044042	0.249886														0.000000	-6.106171										-16.399357											-0.914629	-0.330822	-0.924212					-1.025411					0.000000	-8.026769		-0.600353													-2.248787				0.126572									-0.044042	0.000000	-3.894468	0.000000					-3.902172	8.026769																																											-27.310580	
 2 	 16	0.000000															0.000000												0.000000			0.000410				47.479144	6.642790	0.044042	0.250932														0.000000	-6.106171										-13.091153											0.000000	-0.330822	-0.964838					-1.070486					0.000000	-8.379604		-0.600353													-2.248787				0.126572									-0.044042	0.000000	0.000000	0.000000					-3.761038	8.379604																																											-26.326199	
 2 	 17	0.000000															0.000000												0.000000			0.000000				44.187729	6.954122	0.044042	0.251977														0.000000	-6.106171										-12.819886											0.000000	-0.330822	-0.964838					-1.070486					0.000000	-8.379604		-0.600353													0.000000				0.126572									-0.044042	0.000000	0.000000	0.000000					-3.761038	8.379604																																											-25.866807	
 2 	 18	0.000000															0.000000												0.000000			0.000000				45.212601	7.204439	0.044042	0.251977														0.000000	-6.106171										-13.355195											0.000000	-0.330822	-0.710934					-0.788779					0.000000	-6.174449		-0.600353													0.000000				0.126572									-0.044042	0.000000	0.000000	0.000000					-4.643100	6.174449																																											-26.260235	
 2 	 19	0.000000															0.000000												0.000000			0.000000				45.705327	6.849302	0.044042	0.254068														0.000000	-6.106171										-12.213043											0.000000	-0.330822	-0.507809					-0.563413					0.000000	-4.410310		-0.600353													0.000000				0.126572									-0.044042	0.000000	0.000000	0.000000					-5.348756	4.410310																																											-27.264904	
 2 	 20	0.000000															0.000000												0.000000			0.000000				44.779001	6.453488	0.043017	0.254068														0.000000	-6.106171										-15.229141											0.000000	-0.330822	-0.380856					-0.422559					0.000000	-3.307733		-0.600353													0.000000				0.126572									-0.043017	0.000000	0.000000	4.286667					-5.789787	3.307733																																											-27.040107	
 2 	 21	0.000000															0.000000												0.000000			0.000000				40.462716	5.885581	0.044042	0.254068														0.000000	-6.106171										-13.290109											0.000000	-0.330822	-0.253904					-0.281706					0.000000	-2.205155		-0.600353													0.000000				0.126572									-0.044042	0.000000	0.000000	6.135283					-6.230818	2.205155																																											-25.770337	
