Time	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_DEC_HP_ELEC	TS_DEC_DIRECT_ELEC	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_MOLTEN_SALT	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_MOLTEN_SALT_in	TS_MOLTEN_SALT_out	TS_COLD_in	TS_COLD_out	
 1	3688.750240	173.413513					62.534889			31372.443477									36897.579512	482.882621		1406.207095				172.285380	-2.986000	14.235760	-7.593894	0.000000									0.000000	8.240102					0.000000	59.378479																	0.000000	77.142195	-22.705895	0.000000			0.000000	4.573174							0.000000	0.000000	
 2	3678.112696	181.007407					53.591464			31329.705124									36820.437317	505.997107		1401.680180				170.865748	-3.598216	14.235760	-7.593894	0.000000									0.000000	8.428138					0.000000	40.837184																	0.000000	77.142195	-23.114487	0.000000			0.000000	4.526914							0.000000	0.000000	
 3	3666.886038	188.601301					44.692289			31296.001699									36743.295123	529.247791		1397.168686				169.457815	-3.009102	14.235760	-7.593894	0.000000									0.000000	8.457582					0.000000	31.804844																	0.000000	77.142195	-23.250684	0.000000			0.000000	4.511494							0.000000	0.000000	
 4	3655.998217	196.195195					35.813385			31269.066041									36666.152928	551.000303		1392.487574				188.799054	-3.347939	14.235760	-7.593894	0.000000									0.000000	8.510640					0.000000	25.039120																	0.000000	77.142195	-21.752512	0.000000			0.000000	4.681113							-20.737572	0.000000	
 5	3644.725354	203.789088					27.013473			31242.135440									36589.010733	570.028872		1387.498065				203.290302	-2.962897	14.235760	-7.593894	0.000000									0.000000	8.504809					0.000000	25.035696																	0.000000	77.142195	-19.028569	0.000000			0.000000	4.989509							-16.046952	0.000000	
 6	3634.124389	211.382982					18.315517			31189.461730									36511.868539	582.519979		1381.768404				201.615190	-3.634795	14.235760	-7.593894	0.000000									0.000000	8.475365					0.000000	50.780437																	0.000000	77.142195	-12.491106	0.000000			0.000000	5.729660							0.000000	0.000000	
 7	3624.951930	211.382982					9.683402			31124.554352									36434.726344	583.081983		1374.882260				199.953881	-5.063300	14.235760	0.000000	0.000000									0.000000	8.481195					0.000000	63.017296																	0.000000	77.142195	-0.562004	0.000000			0.000000	6.886144							0.000000	0.000000	
 8	3619.050401	211.382982					1.939858			31060.130993									36357.584150	583.056975		1368.304515				198.306261	-8.334231	14.235760	0.000000	0.000000									0.000000	7.663753					0.000000	62.537211																	0.000000	77.142195	0.000000	0.025008			0.000000	6.577745							0.000000	0.000000	
 9	3615.690148	204.054074					0.000000			30999.082579									36280.441955	583.056975		1361.880963				196.672217	-10.875507	14.235760	0.000000	7.328908									0.000000	1.923873					0.000000	59.166170																	0.000000	77.142195	0.000000	0.000000			0.000000	6.423552							0.000000	0.000000	
 10	3612.593649	204.054074					5.186185			30942.213612									36203.299761	567.340449		1355.226108				195.051638	-11.139261	14.235760	0.000000	0.000000									-5.186185	0.000000					0.000000	54.990422																	0.000000	77.142195	0.000000	15.716526			0.000000	6.654855							0.000000	0.000000	
 11	3611.147055	201.216502					17.034178			30889.285681									36126.157566	542.278489		1348.262867				193.444413	-12.789165	14.235760	0.000000	2.837572									-11.890728	0.000000					0.000000	51.052833																	0.000000	77.142195	0.000000	25.061960			0.000000	6.963241							0.000000	0.000000	
 12	3609.369324	191.090716					33.959736			30839.400355									36049.015372	514.745758		1341.052902				191.850431	-12.458029	14.235760	0.000000	10.125786									-17.065920	0.000000					0.000000	48.013435																	0.000000	77.142195	0.000000	27.532731			0.000000	7.209965							0.000000	0.000000	
 13	3607.485707	180.964931					52.912917			30791.355526									35971.873177	489.683798		1334.089661				190.269583	-12.352143	14.235760	0.000000	10.125786									-19.233009	0.000000					0.000000	46.175962																	0.000000	77.142195	0.000000	25.061960			0.000000	6.963241							0.000000	0.000000	
 14	3604.140856	170.839145					73.126972			30743.879985									35894.730983	464.312959		1327.095576				188.701762	-10.890909	14.235760	0.000000	10.125786									-20.650058	0.000000					0.000000	45.609585																	0.000000	77.142195	0.000000	25.370839			0.000000	6.994085							0.000000	0.000000	
 15	3598.410671	163.492568					91.889601			30695.353839									35817.588788	435.853722		1319.793093				187.146859	-8.505575	14.235760	0.000000	7.346577									-19.365195	0.000000					0.000000	46.663067																	0.000000	77.142195	0.000000	28.459237			0.000000	7.302484							0.000000	0.000000	
 16	3591.365568	163.492568					102.399582			30642.074640									35740.446594	406.592026		1312.367247				185.604769	-7.190657	14.235760	0.000000	0.000000									-11.267151	0.000000					0.000000	51.419061																	0.000000	77.142195	0.000000	29.261696			0.000000	7.425846							0.000000	0.000000	
 17	3585.383180	163.492568					103.495838			30583.320835									35663.304399	381.668743		1304.941401				184.075386	-8.253372	14.235760	0.000000	0.000000									-1.940029	0.000000					0.000000	56.896895																	0.000000	77.142195	0.000000	24.923283			0.000000	7.425846							0.000000	0.000000	
 18	3580.634852	154.912050					101.983512			30523.043872									35586.162205	375.784347		1298.286546				182.558605	-9.487431	14.235760	0.000000	8.580518									0.000000	0.659520					0.000000	58.423614																	0.000000	77.142195	0.000000	5.884397			0.000000	6.654855							0.000000	0.000000	
 19	3577.852162	154.912050					98.831272			30461.800119									35509.020010	370.189583		1292.248490				181.054322	-11.453070	14.235760	0.000000	0.000000									0.000000	2.311896					0.000000	59.394057																	0.000000	77.142195	0.000000	5.594763			0.000000	6.038057							0.000000	0.000000	
 20	3575.208087	154.912050					94.258157			30399.710340									35431.877816	371.621875		1286.595928				179.562434	-11.591685	14.235760	0.000000	0.000000									0.000000	3.758746					0.000000	60.243794																	0.000000	77.142195	-1.432291	0.000000			0.000000	5.652561							0.000000	0.000000	
 21	3568.894564	154.912050					88.705294			30337.026785									35354.735621	380.991611		1281.328863				178.082840	-7.922236	14.235760	0.000000	0.000000									0.000000	4.776176					0.000000	60.841332																	0.000000	77.142195	-9.369737	0.000000			0.000000	5.267066							0.000000	0.000000	
 22	3559.161868	154.912050					83.557057			30274.557794									35277.593427	396.618207		1276.339354				176.615437	-4.503065	14.235760	0.000000	0.000000									0.000000	4.417306					0.000000	60.630567																	0.000000	77.142195	-15.626596	0.000000			0.000000	4.989509							0.000000	0.000000	
 23	3550.823024	154.912050					77.862939			30211.747078									35200.451232	414.082432		1271.534883				175.160126	-5.896916	14.235760	0.000000	0.000000									0.000000	5.005608					0.000000	60.976078																	0.000000	77.142195	-17.464225	0.000000			0.000000	4.804471							0.000000	0.000000	
 24	3542.345565	154.912050					71.363023			30148.439366									35123.309038	433.696397		1266.915450				173.716806	-5.758301	14.235760	0.000000	0.000000									0.000000	5.858325					0.000000	61.476880																	0.000000	77.142195	-19.613965	0.000000			0.000000	4.619433							0.000000	0.000000	
 25	3543.546896	154.912050					53.149463			30135.547770									35123.309038	456.402292		1274.734351				172.285380	-1.201331	0.000000	0.000000	0.000000									0.000000	17.625529					0.000000	11.064600																	0.000000	0.000000	-22.705895	0.000000			-7.818901	0.000000							0.000000	0.000000	
 26	3545.058185	154.912050					59.910013			30122.059418									35123.309038	475.475381		1282.599512				170.865748	-1.511289	0.000000	0.000000	0.000000									-7.198502	0.000000					0.000000	11.662138																	0.000000	0.000000	-19.073090	0.000000			-7.865161	0.000000							0.000000	0.000000	
 27	3546.721566	154.912050					73.041961			30108.195553									35123.309038	490.795574		1290.480093				169.457815	-1.663381	0.000000	0.000000	0.000000									-13.625607	0.000000					0.000000	12.038468																	0.000000	0.000000	-15.320192	0.000000			-7.880581	0.000000							0.000000	0.000000	
 28	3548.710307	154.912050					84.848284			30093.617538									35123.309038	504.956966		1298.191055				168.061482	-1.988741	0.000000	0.000000	0.000000									-12.408189	0.000000					0.000000	12.753459																	0.000000	0.000000	-14.161392	0.000000			-7.710962	0.000000							0.000000	0.000000	
 29	3550.812636	154.912050					94.963544			30078.104376									35123.309038	515.792099		1305.593621				166.676656	-2.102329	0.000000	0.000000	0.000000									-10.814409	0.000000					0.000000	13.689488																	0.000000	0.000000	-10.835133	0.000000			-7.402566	0.000000							0.000000	0.000000	
 30	3554.632251	154.912050					103.495838			30061.711428									35123.309038	517.027988		1312.256035				165.303240	-3.819615	0.000000	0.000000	0.000000									-9.314793	0.000000					0.000000	14.570215																	0.000000	0.000000	-1.235890	0.000000			-6.662415	0.000000							0.000000	0.000000	
 31	3550.975729	154.912050					76.769073			30044.418029									35123.309038	517.027988		1317.761966				163.941141	-6.951931	10.608453	0.000000	0.000000									0.000000	25.873959					0.000000	15.471659																	0.000000	0.000000	0.000000	0.000000			-5.505931	0.000000							0.000000	0.000000	
 32	3559.090486	154.912050					50.262536			30026.531564									35123.309038	505.180270		1323.576296				162.590266	-8.114757	0.000000	0.000000	0.000000									0.000000	25.873959					0.000000	16.065773																	0.000000	0.000000	0.000000	11.847719			-5.814330	0.000000							0.000000	0.000000	
 33	3554.024230	154.912050					23.974413			30010.987883									35123.309038	501.438989		1329.544819				161.250522	-8.157112	13.223368	0.000000	0.000000									0.000000	25.873959					0.000000	13.724074																	0.000000	0.000000	0.000000	3.741280			-5.968523	0.000000							0.000000	0.000000	
 34	3547.289086	154.912050					0.000000			29999.631336									35123.309038	494.924978		1335.282039				159.921818	-7.500615	14.235760	0.000000	0.000000									0.000000	23.776864					0.000000	9.537881																	0.000000	0.000000	0.000000	6.514012			-5.737220	0.000000							0.000000	0.000000	
 35	3539.797334	154.912050					0.000000			29992.713697									35123.309038	479.798186		1340.710873				158.604062	-6.744008	14.235760	0.000000	0.000000									0.000000	0.000000					0.000000	5.099661																	0.000000	0.000000	0.000000	15.126792			-5.428834	0.000000							0.000000	0.000000	
 36	3531.932092	154.912050					0.000000			29990.034547									35123.309038	461.415052		1345.892982				157.297165	-6.370518	14.235760	0.000000	0.000000									0.000000	0.000000					0.000000	0.861591																	0.000000	0.000000	0.000000	18.383134			-5.182110	0.000000							0.000000	0.000000	
 37	3523.525866	154.912050					0.000000			29990.626440									35123.309038	444.826681		1351.321817				156.001036	-5.829534	14.235760	0.000000	0.000000									0.000000	0.000000					-2.409289	0.000000																	0.000000	0.000000	0.000000	16.588371			-5.428834	0.000000							0.000000	0.000000	
 38	3514.062699	154.912050					0.000000			29992.848430									35123.309038	428.874921		1356.719807				154.715588	-4.772594	14.235760	0.000000	0.000000									0.000000	0.000000					-4.039422	0.000000																	0.000000	0.000000	0.000000	15.951760			-5.397990	0.000000							0.000000	0.000000	
 39	3503.817898	154.912050					0.000000			29993.706049									35123.309038	412.810316		1361.809398				153.440731	-3.990959	14.235760	0.000000	0.000000									0.000000	0.000000					-2.675185	0.000000																	0.000000	0.000000	0.000000	16.064605			-5.089591	0.000000							0.000000	0.000000	
 40	3494.214192	154.912050					0.000000			29988.187590									35123.309038	396.067968		1366.775627				152.176380	-4.632054	14.235760	0.000000	0.000000									0.000000	0.000000					0.000000	3.700840																	0.000000	0.000000	0.000000	16.742349			-4.966229	0.000000							0.000000	0.000000	
 41	3487.513701	154.912050					0.000000			29977.664869									35123.309038	378.904329		1371.741856				150.922446	-7.535269	14.235760	0.000000	0.000000									0.000000	0.000000					0.000000	8.705437																	0.000000	0.000000	0.000000	17.163638			-4.966229	0.000000							0.000000	0.000000	
 42	3482.199361	154.912050					0.000000			29965.930417									35123.309038	377.984735		1377.479076				149.678845	-8.921420	14.235760	0.000000	0.000000									0.000000	0.000000					0.000000	9.917806																	0.000000	0.000000	0.000000	0.919594			-5.737220	0.000000							0.000000	0.000000	
 43	3488.545419	154.912050					3.970861			29953.319373									35123.309038	377.984735		1383.833095				148.445492	-8.669218	2.323160	0.000000	0.000000									-3.970861	0.000000					0.000000	10.795109																	0.000000	0.000000	0.000000	0.000000			-6.354018	0.000000							0.000000	0.000000	
 44	3495.289427	154.912050					18.433957			29939.976809									35123.309038	379.021000		1390.572608				147.222301	-6.744008	0.000000	0.000000	0.000000									-14.495815	0.000000					0.000000	11.527393																	0.000000	0.000000	-1.036265	0.000000			-6.739514	0.000000							0.000000	0.000000	
 45	3499.376647	154.912050					31.854610			29926.092818									35123.309038	386.138458		1397.697618				146.009189	-4.087219	0.000000	0.000000	0.000000									-13.572549	0.000000					0.000000	12.069629																	0.000000	0.000000	-7.117458	0.000000			-7.125009	0.000000							0.000000	0.000000	
 46	3504.091484	154.912050					44.841081			29912.019620									35123.309038	400.412052		1405.100184				144.806073	-4.714838	0.000000	0.000000	0.000000									-13.248953	0.000000					0.000000	12.259677																	0.000000	0.000000	-14.273594	0.000000			-7.402566	0.000000							0.000000	0.000000	
 47	3509.447417	154.912050					57.885257			29898.044011									35123.309038	416.916640		1412.687788				143.612871	-5.355932	0.000000	0.000000	0.000000									-13.413666	0.000000					0.000000	12.162941																	0.000000	0.000000	-16.504587	0.000000			-7.587604	0.000000							0.000000	0.000000	
 48	3513.062960	154.912050					71.363023			29884.387023									35123.309038	433.139600		1420.460430				173.716806	-3.615543	0.000000	0.000000	0.000000									-13.954741	0.000000					0.000000	11.845167																	0.000000	0.000000	-16.222960	0.000000			-7.772642	0.000000							-31.287305	0.000000	
 49	3513.170771	154.912050					53.055766			29882.705598									35123.309038	433.139600		1420.460430				172.285380	-0.107812	0.000000	0.000000	0.000000									0.000000	17.719226					-0.129569	0.000000																	0.000000	0.000000	0.000000	0.000000			0.000000	0.000000							0.000000	0.000000	
 50	3513.846520	160.936727					26.744627			29880.616785									35123.309038	450.116130		1419.697267				170.865748	-0.675748	0.000000	-6.024677	0.000000									0.000000	25.873959					0.000000	0.277921																	0.000000	0.000000	-16.976530	0.000000			0.000000	0.763162							0.000000	0.000000	
 51	3514.520343	160.936727					26.524251			29878.148174									35123.309038	467.228857		1409.794564				206.682395	-0.673823	0.000000	0.000000	0.000000									0.000000	0.000000					0.000000	0.657846																	0.000000	0.000000	-17.112727	0.000000			0.000000	9.902703							-37.224580	0.000000	
 52	3514.915011	168.530621					26.305691			29875.272051									35123.309038	482.843413		1399.722242				204.979332	-0.394668	0.000000	-7.593894	0.000000									0.000000	0.000000					0.000000	1.065507																	0.000000	0.000000	-15.614556	0.000000			0.000000	10.072322							0.000000	0.000000	
 53	3515.384762	176.124515					26.088932			29871.681282									35123.309038	495.734025		1389.341524				203.290302	-0.469751	0.000000	-7.593894	0.000000									0.000000	0.000000					0.000000	1.780328																	0.000000	0.000000	-12.890612	0.000000			0.000000	10.380718							0.000000	0.000000	
 54	3517.001938	176.124515					0.000000			29867.458607									35123.309038	502.087175		1378.220655				201.615190	-1.617176	0.000000	0.000000	0.000000									0.000000	25.873959					0.000000	2.412451																	0.000000	0.000000	-6.353150	0.000000			0.000000	11.120869							0.000000	0.000000	
 55	3518.904045	165.998729					0.000000			29862.832122									35123.309038	497.708926		1365.943302				199.953881	-1.902107	0.000000	0.000000	10.125786									0.000000	0.000000					0.000000	2.816517																	0.000000	0.000000	0.000000	4.378249			0.000000	12.277353							0.000000	0.000000	
 56	3520.871609	165.998729					25.873959			29857.853558									35123.309038	496.419075		1353.974347				198.306261	-1.967564	0.000000	0.000000	0.000000									-25.873959	0.000000					0.000000	3.168876																	0.000000	0.000000	0.000000	1.289851			0.000000	11.968954							0.000000	0.000000	
 57	3522.891153	173.592623					22.917445			29855.572778									35123.309038	489.496148		1342.159586				196.672217	-2.019545	0.000000	-7.593894	0.000000									0.000000	2.743313					0.000000	0.471393																	0.000000	0.000000	-53.646593	60.569520			0.000000	11.814761							0.000000	0.000000	
 58	3524.215697	181.186517					22.728605			29857.827094									35123.309038	487.434099		1330.113522				195.051638	-1.324544	0.000000	-7.593894	0.000000									0.000000	0.000000					-4.063563	0.000000																	0.000000	0.000000	0.000000	2.062049			0.000000	12.046064							0.000000	0.000000	
 59	3525.474784	181.186517					22.541322			29864.823569									35123.309038	482.283784		1317.759072				193.444413	-1.259087	0.000000	0.000000	0.000000									0.000000	0.000000					-8.805859	0.000000																	0.000000	0.000000	0.000000	5.150315			0.000000	12.354450							0.000000	0.000000	
 60	3527.030353	171.060731					22.355581			29876.143982									35123.309038	474.662697		1305.157898				191.850431	-1.555569	0.000000	0.000000	10.125786									0.000000	0.000000					-13.130222	0.000000																	0.000000	0.000000	0.000000	7.621086			0.000000	12.601174							0.000000	0.000000	
 61	3528.886255	171.060731					22.171371			29890.620561									35123.309038	469.512382		1292.803448				190.269583	-1.855902	0.000000	0.000000	0.000000									0.000000	0.000000					-16.287073	0.000000																	0.000000	0.000000	0.000000	5.150315			0.000000	12.354450							0.000000	0.000000	
 62	3530.776811	178.654625					21.988679			29906.198045									35123.309038	464.053187		1305.917581				188.701762	-1.890556	0.000000	-7.593894	0.000000									0.000000	0.000000					-17.388855	0.000000																	0.000000	0.000000	0.000000	5.459195			-13.114132	0.000000							0.000000	0.000000	
 63	3532.584582	178.654625					21.807492			29919.995820									35124.883498	455.505595		1293.223888				187.146859	-1.807772	0.000000	0.000000	0.000000									0.000000	0.000000					-15.610091	0.000000																	-1.574461	0.000000	0.000000	8.547592			0.000000	12.693693							0.000000	0.000000	
 64	3534.654182	168.528839					21.627799			29929.119634									35126.457959	418.851838		1280.406833				185.604769	-2.069600	0.000000	0.000000	10.125786									0.000000	0.000000					-10.936965	0.000000																	-1.574461	0.000000	0.000000	36.653757			0.000000	12.817055							0.000000	0.000000	
 65	3537.855805	168.528839					21.449586			29934.750977									35126.457959	409.068861		1293.089204				184.075386	-3.201623	0.000000	0.000000	0.000000									0.000000	0.000000					-7.445047	0.000000																	0.000000	0.000000	0.000000	9.782978			-12.682371	0.000000							0.000000	0.000000	
 66	3541.815961	176.122733					21.272841			29939.356061									35126.457959	397.497047		1306.542566				182.558605	-3.960156	0.000000	-7.593894	0.000000									0.000000	0.000000					-6.419131	0.000000																	0.000000	0.000000	-71.081461	82.653275			-13.453362	0.000000							0.000000	0.000000	
 67	3545.294814	176.122733					46.971512			29943.163008									35126.457959	401.126253		1295.113300				181.054322	-3.478853	0.000000	0.000000	0.000000									-25.873959	0.000000					-5.621271	0.000000																	0.000000	0.000000	-3.629206	0.000000			0.000000	11.429266							0.000000	0.000000	
 68	3547.000550	176.122733					46.584467			29946.506931									35126.457959	408.160389		1309.568956				179.562434	-1.705735	0.000000	0.000000	0.000000									0.000000	0.000000					-5.158479	0.000000																	0.000000	0.000000	-7.034136	0.000000			-14.455656	0.000000							0.000000	0.000000	
 69	3548.315467	165.996947					20.326651			29949.508736									35128.032420	418.599454		1324.410107				178.082840	-1.314918	0.000000	0.000000	10.125786									0.000000	25.873959					-4.816564	0.000000																	-1.574461	0.000000	-10.439065	0.000000			-14.841151	0.000000							0.000000	0.000000	
 70	3549.328128	155.871161					20.159160			29952.437936									35128.032420	431.490066		1339.528815				176.615437	-1.012660	0.000000	0.000000	10.125786									0.000000	0.000000					-4.744140	0.000000																	0.000000	0.000000	-12.890612	0.000000			-15.118708	0.000000							0.000000	0.000000	
 71	3551.064666	155.871161					45.867008			29955.111335									35128.032420	439.481214		1354.832561				175.160126	-1.736539	0.000000	0.000000	0.000000									-25.873959	0.000000					-4.488517	0.000000																	0.000000	0.000000	-63.362616	55.371468			-15.303746	0.000000							0.000000	0.000000	
 72	3551.838601	163.465055					71.363023			29957.591100									35129.606880	455.640560		1354.832561				173.716806	-0.773934	0.000000	-7.593894	0.000000									-25.873959	0.000000					-4.295045	0.000000																	-1.574461	0.000000	-16.159347	0.000000			0.000000	0.000000							0.000000	0.000000	
 73	3553.039931	163.465055					53.149463			29944.711070									35129.606880	478.346455		1362.651462				172.285380	-1.201331	0.000000	0.000000	0.000000									0.000000	17.625529					0.000000	11.064600																	0.000000	0.000000	-22.705895	0.000000			-7.818901	0.000000							0.000000	0.000000	
 74	3554.551220	163.465055					59.910013			29931.234282									35129.606880	497.419545		1370.516623				170.865748	-1.511289	0.000000	0.000000	0.000000									-7.198502	0.000000					0.000000	11.662138																	0.000000	0.000000	-19.073090	0.000000			-7.865161	0.000000							0.000000	0.000000	
 75	3556.214601	163.465055					73.041961			29917.381982									35129.606880	512.739737		1378.397204				169.457815	-1.663381	0.000000	0.000000	0.000000									-13.625607	0.000000					0.000000	12.038468																	0.000000	0.000000	-15.320192	0.000000			-7.880581	0.000000							0.000000	0.000000	
 76	3558.203343	163.465055					84.848284			29902.815529									35129.606880	526.901130		1386.108166				168.061482	-1.988741	0.000000	0.000000	0.000000									-12.408189	0.000000					0.000000	12.753459																	0.000000	0.000000	-14.161392	0.000000			-7.710962	0.000000							0.000000	0.000000	
 77	3560.305671	163.465055					94.963544			29887.313930									35129.606880	537.736263		1393.510732				166.676656	-2.102329	0.000000	0.000000	0.000000									-10.814409	0.000000					0.000000	13.689488																	0.000000	0.000000	-10.835133	0.000000			-7.402566	0.000000							0.000000	0.000000	
 78	3564.125286	163.465055					103.495838			29870.932544									35129.606880	538.972152		1400.173147				165.303240	-3.819615	0.000000	0.000000	0.000000									-9.314793	0.000000					0.000000	14.570215																	0.000000	0.000000	-1.235890	0.000000			-6.662415	0.000000							0.000000	0.000000	
 79	3560.468764	163.465055					76.769073			29853.650706									35129.606880	538.972152		1405.679077				163.941141	-6.951931	10.608453	0.000000	0.000000									0.000000	25.873959					0.000000	15.471659																	0.000000	0.000000	0.000000	0.000000			-5.505931	0.000000							0.000000	0.000000	
 80	3568.583521	163.465055					50.262536			29835.775802									35129.606880	527.124433		1411.493407				162.590266	-8.114757	0.000000	0.000000	0.000000									0.000000	25.873959					0.000000	16.065773																	0.000000	0.000000	0.000000	11.847719			-5.814330	0.000000							0.000000	0.000000	
 81	3563.517266	163.465055					23.974413			29820.243681									35129.606880	523.383153		1417.461930				161.250522	-8.157112	13.223368	0.000000	0.000000									0.000000	25.873959					0.000000	13.724074																	0.000000	0.000000	0.000000	3.741280			-5.968523	0.000000							0.000000	0.000000	
 82	3556.782121	163.465055					0.000000			29808.898693									35129.606880	516.869141		1423.199150				159.921818	-7.500615	14.235760	0.000000	0.000000									0.000000	23.776864					0.000000	9.537881																	0.000000	0.000000	0.000000	6.514012			-5.737220	0.000000							0.000000	0.000000	
 83	3549.290369	163.465055					0.000000			29801.992612									35129.606880	501.742350		1428.627984				158.604062	-6.744008	14.235760	0.000000	0.000000									0.000000	0.000000					0.000000	5.099661																	0.000000	0.000000	0.000000	15.126792			-5.428834	0.000000							0.000000	0.000000	
 84	3541.425127	163.465055					0.000000			29799.325020									35129.606880	483.359216		1433.810094				157.297165	-6.370518	14.235760	0.000000	0.000000									0.000000	0.000000					0.000000	0.861591																	0.000000	0.000000	0.000000	18.383134			-5.182110	0.000000							0.000000	0.000000	
 85	3533.018901	163.465055					0.000000			29799.928470									35129.606880	466.770845		1439.238928				156.001036	-5.829534	14.235760	0.000000	0.000000									0.000000	0.000000					-2.409289	0.000000																	0.000000	0.000000	0.000000	16.588371			-5.428834	0.000000							0.000000	0.000000	
 86	3523.555735	163.465055					0.000000			29802.162016									35129.606880	450.819085		1444.636918				154.715588	-4.772594	14.235760	0.000000	0.000000									0.000000	0.000000					-4.039422	0.000000																	0.000000	0.000000	0.000000	15.951760			-5.397990	0.000000							0.000000	0.000000	
 87	3513.310934	163.465055					0.000000			29803.031190									35129.606880	434.754480		1449.726510				153.440731	-3.990959	14.235760	0.000000	0.000000									0.000000	0.000000					-2.675185	0.000000																	0.000000	0.000000	0.000000	16.064605			-5.089591	0.000000							0.000000	0.000000	
 88	3503.707227	163.465055					0.000000			29797.524287									35129.606880	418.012132		1454.692739				152.176380	-4.632054	14.235760	0.000000	0.000000									0.000000	0.000000					0.000000	3.700840																	0.000000	0.000000	0.000000	16.742349			-4.966229	0.000000							0.000000	0.000000	
 89	3497.006736	163.465055					0.000000			29787.013120									35129.606880	400.848493		1459.658968				150.922446	-7.535269	14.235760	0.000000	0.000000									0.000000	0.000000					0.000000	8.705437																	0.000000	0.000000	0.000000	17.163638			-4.966229	0.000000							0.000000	0.000000	
 90	3491.692396	163.465055					0.000000			29775.290221									35129.606880	399.928899		1465.396188				149.678845	-8.921420	14.235760	0.000000	0.000000									0.000000	0.000000					0.000000	9.917806																	0.000000	0.000000	0.000000	0.919594			-5.737220	0.000000							0.000000	0.000000	
 91	3498.038454	163.465055					3.970861			29762.690730									35129.606880	399.928899		1471.750206				148.445492	-8.669218	2.323160	0.000000	0.000000									-3.970861	0.000000					0.000000	10.795109																	0.000000	0.000000	0.000000	0.000000			-6.354018	0.000000							0.000000	0.000000	
 92	3504.782462	163.465055					18.433957			29749.359718									35129.606880	400.965164		1478.489720				147.222301	-6.744008	0.000000	0.000000	0.000000									-14.495815	0.000000					0.000000	11.527393																	0.000000	0.000000	-1.036265	0.000000			-6.739514	0.000000							0.000000	0.000000	
 93	3508.869682	163.465055					31.854610			29735.487278									35129.606880	408.082622		1485.614729				146.009189	-4.087219	0.000000	0.000000	0.000000									-13.572549	0.000000					0.000000	12.069629																	0.000000	0.000000	-7.117458	0.000000			-7.125009	0.000000							0.000000	0.000000	
 94	3513.584519	163.465055					44.841081			29721.425631									35129.606880	422.356216		1493.017295				144.806073	-4.714838	0.000000	0.000000	0.000000									-13.248953	0.000000					0.000000	12.259677																	0.000000	0.000000	-14.273594	0.000000			-7.402566	0.000000							0.000000	0.000000	
 95	3518.940452	163.465055					57.885257			29707.461572									35129.606880	438.860803		1500.604899				143.612871	-5.355932	0.000000	0.000000	0.000000									-13.413666	0.000000					0.000000	12.162941																	0.000000	0.000000	-16.504587	0.000000			-7.587604	0.000000							0.000000	0.000000	
 96	3522.555995	163.465055					71.363023			29693.816133									35129.606880	455.083764		1508.377541				173.716806	-3.615543	0.000000	0.000000	0.000000									-13.954741	0.000000					0.000000	11.845167																	0.000000	0.000000	-16.222960	0.000000			-7.772642	0.000000							-31.287305	0.000000	
 97	3511.306235	171.058949					62.534889			29632.638209									35052.464686	477.789659		1503.804367				172.285380	-2.986000	14.235760	-7.593894	0.000000									0.000000	8.240102					0.000000	59.378479																	0.000000	77.142195	-22.705895	0.000000			0.000000	4.573174							0.000000	0.000000	
 98	3500.668691	178.652842					53.591464			29590.005287									34975.322491	500.904145		1499.277453				170.865748	-3.598216	14.235760	-7.593894	0.000000									0.000000	8.428138					0.000000	40.837184																	0.000000	77.142195	-23.114487	0.000000			0.000000	4.526914							0.000000	0.000000	
