Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																															5.470061							1.252948																																																									0.000000	0.210592																			0.000000	0.048237																			-6.981838	
 1 	 2																																																															5.470061							1.252948																																																									0.000000	0.233318																			0.000000	0.053443																			-7.009770	
 1 	 3																																																															5.470061							1.252948																																																									0.000000	0.271297																			0.000000	0.062142																			-7.056447	
 1 	 4																																																															5.470061							1.252948																																																									0.000000	0.307133																			0.000000	0.070351																			-7.100493	
 1 	 5																																																															5.470061							1.252948																																																									0.000000	0.360626																			0.000000	0.082603																			-7.166238	
 1 	 6																																																															5.470061							1.252948																																																									0.000000	0.436175																			0.000000	0.099908																			-7.259092	
 1 	 7																																																															5.470061							1.252948																																																									0.000000	0.358616																			0.000000	0.082143																			-7.163768	
 1 	 8																																																															5.470061							1.252948																																																									-0.061810	0.000000																			-0.014158	0.000000																			-6.647041	
 1 	 9																																																															5.470061							1.252948																																																									-0.500681	0.000000																			-0.114684	0.000000																			-6.107644	
 1 	 10																																																															5.470061							1.252948																																																									-0.724543	0.000000																			-0.165961	0.000000																			-5.832505	
 1 	 11																																																															5.470061							1.252948																																																									-0.838872	0.000000																			-0.192148	0.000000																			-5.691989	
 1 	 12																																																															5.470061							1.252948																																																									-0.889421	0.000000																			-0.203727	0.000000																			-5.629860	
 1 	 13																																																															5.470061							1.252948																																																									-0.890091	0.000000																			-0.203880	0.000000																			-5.629037	
 1 	 14																																																															5.470061							1.252948																																																									-0.807186	0.000000																			-0.184890	0.000000																			-5.730933	
 1 	 15																																																															5.470061							1.252948																																																									-0.507643	0.000000																			-0.116279	0.000000																			-6.099087	
 1 	 16																																																															5.470061							1.252948																																																									-0.170661	0.000000																			-0.039091	0.000000																			-6.513257	
 1 	 17																																																															5.470061							1.252948																																																									-0.009526	0.000000																			-0.002182	0.000000																			-6.711301	
 1 	 18																																																															5.470061							1.252948																																																									0.000000	0.091442																			0.000000	0.020945																			-6.835396	
 1 	 19																																																															5.470061							1.252948																																																									0.000000	0.169408																			0.000000	0.038804																			-6.931221	
 1 	 20																																																															5.470061							1.252948																																																									0.000000	0.243355																			0.000000	0.055742																			-7.022106	
 1 	 21																																																															5.470061							1.252948																																																									0.000000	0.331213																			0.000000	0.075866																			-7.130088	
 1 	 22																																																															5.470061							1.252948																																																									0.000000	0.452097																			0.000000	0.103555																			-7.278661	
 1 	 23																																																															5.470061							1.252948																																																									0.000000	0.610696																			0.000000	0.139883																			-7.473588	
 1 	 24																																																															5.470061							1.252948																																																									0.000000	0.778241																			0.000000	0.178261																			-7.679511	
 2 	 1																																																															0.054067							0.015953																																																									0.000000	1.320948																			0.000000	0.299002																			-1.689970	
 2 	 2																																																															1.602175							0.125159																																																									-0.128084	0.000000																			0.000000	0.212489																			-1.811739	
 2 	 3																																																															2.881385							0.357427																																																									-1.320948	0.000000																			0.000000	0.000000																			-1.917864	
 2 	 4																																																															2.759389							0.329483																																																									-1.320948	0.000000																			0.000000	0.000000																			-1.767923	
 2 	 5																																																															2.336234							0.232557																																																									-1.320948	0.000000																			0.000000	0.000000																			-1.247842	
 2 	 6																																																															0.000000							0.133190																																																									0.000000	0.581473																			0.000000	0.000000																			-0.714662	
 2 	 7																																																															0.000000							0.085627																																																									0.000000	0.373826																			0.000000	0.000000																			-0.459453	
 2 	 8																																																															0.000000							0.085627																																																									0.000000	0.373826																			0.000000	0.000000																			-0.459453	
 2 	 9																																																															0.000000							0.085627																																																									0.000000	0.373826																			0.000000	0.000000																			-0.459453	
 2 	 10																																																															0.000000							0.085627																																																									0.000000	0.373826																			0.000000	0.000000																			-0.459453	
 2 	 11																																																															0.000000							0.085627																																																									0.000000	0.373826																			0.000000	0.000000																			-0.459453	
 2 	 12																																																															0.000000							0.085627																																																									0.000000	0.373826																			0.000000	0.000000																			-0.459453	
 2 	 13																																																															0.000000							0.085627																																																									0.000000	0.373826																			0.000000	0.000000																			-0.459453	
 2 	 14																																																															0.000000							0.085627																																																									0.000000	0.373826																			0.000000	0.000000																			-0.459453	
 2 	 15																																																															0.000000							0.085627																																																									0.000000	0.373826																			0.000000	0.000000																			-0.459453	
 2 	 16																																																															0.000000							0.085627																																																									0.000000	0.373826																			0.000000	0.000000																			-0.459453	
 2 	 17																																																															0.000000							0.085627																																																									0.000000	0.373826																			0.000000	0.000000																			-0.459453	
