Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																		0.821027																	-0.821027																																																																																																																																				0.000000	
 1 	 2																		0.960127																	-0.960127																																																																																																																																				0.000000	
 1 	 3																		0.851561																	-0.851561																																																																																																																																				0.000000	
 1 	 4																		1.051729																	-1.051729																																																																																																																																				0.000000	
 1 	 5																		1.078870																	-1.078870																																																																																																																																				0.000000	
 1 	 6																		0.953341																	-0.953341																																																																																																																																				0.000000	
 1 	 7																		0.719247																	-0.719247																																																																																																																																				0.000000	
 1 	 8																		0.800671																	-0.800671																																																																																																																																				0.000000	
 1 	 9																		0.810849																	-0.810849																																																																																																																																				0.000000	
 1 	 10																		0.878703																	-0.878703																																																																																																																																				0.000000	
 1 	 11																		0.980483																	-0.980483																																																																																																																																				0.000000	
 1 	 12																		0.882095																	-0.882095																																																																																																																																				0.000000	
 1 	 13																		0.603896																	-0.603896																																																																																																																																				0.000000	
 1 	 14																		0.417299																	-0.417299																																																																																																																																				0.000000	
 1 	 15																		0.332482																	-0.332482																																																																																																																																				0.000000	
 1 	 16																		0.305341																	-0.305341																																																																																																																																				0.000000	
 1 	 17																		0.352838																	-0.352838																																																																																																																																				0.000000	
 1 	 18																		0.366409																	-0.366409																																																																																																																																				0.000000	
 1 	 19																		0.386765																	-0.386765																																																																																																																																				0.000000	
 1 	 20																		0.444440																	-0.444440																																																																																																																																				0.000000	
 1 	 21																		0.464796																	-0.464796																																																																																																																																				0.000000	
 1 	 22																		0.461404																	-0.461404																																																																																																																																				0.000000	
 1 	 23																		0.349445																	-0.349445																																																																																																																																				0.000000	
 1 	 24																		0.298555																	-0.298555																																																																																																																																				0.000000	
 2 	 1																		1.095834																	-1.095834																																																																																																																																				0.000000	
 2 	 2																		0.909237																	-0.909237																																																																																																																																				0.000000	
 2 	 3																		0.878703																	-0.878703																																																																																																																																				0.000000	
 2 	 4																		0.888881																	-0.888881																																																																																																																																				0.000000	
 2 	 5																		0.932985																	-0.932985																																																																																																																																				0.000000	
 2 	 6																		0.627645																	-0.627645																																																																																																																																				0.000000	
 2 	 7																		0.366409																	-0.366409																																																																																																																																				0.000000	
 2 	 8																		0.206953																	-0.206953																																																																																																																																				0.000000	
 2 	 9																		0.139100																	-0.139100																																																																																																																																				0.000000	
 2 	 10																		0.111958																	-0.111958																																																																																																																																				0.000000	
 2 	 11																		0.111958																	-0.111958																																																																																																																																				0.000000	
 2 	 12																		0.115351																	-0.115351																																																																																																																																				0.000000	
 2 	 13																		0.122136																	-0.122136																																																																																																																																				0.000000	
 2 	 14																		0.159456																	-0.159456																																																																																																																																				0.000000	
 2 	 15																		0.240880																	-0.240880																																																																																																																																				0.000000	
 2 	 16																		0.254451																	-0.254451																																																																																																																																				0.000000	
 2 	 17																		0.237487																	-0.237487																																																																																																																																				0.000000	
 2 	 18																		0.183204																	-0.183204																																																																																																																																				0.000000	
 2 	 19																		0.128922																	-0.128922																																																																																																																																				0.000000	
 2 	 20																		0.149278																	-0.149278																																																																																																																																				0.000000	
 2 	 21																		0.179812																	-0.179812																																																																																																																																				0.000000	
 2 	 22																		0.196775																	-0.196775																																																																																																																																				0.000000	
 2 	 23																		0.206953																	-0.206953																																																																																																																																				0.000000	
 2 	 24																		0.278199																	-0.278199																																																																																																																																				0.000000	
 3 	 1																		1.679374																	-1.679374																																																																																																																																				0.000000	
 3 	 2																		1.265467																	-1.265467																																																																																																																																				0.000000	
 3 	 3																		0.868525																	-0.868525																																																																																																																																				0.000000	
 3 	 4																		0.525864																	-0.525864																																																																																																																																				0.000000	
 3 	 5																		0.203560																	-0.203560																																																																																																																																				0.000000	
 3 	 6																		0.101780																	-0.101780																																																																																																																																				0.000000	
 3 	 7																		0.064461																	-0.064461																																																																																																																																				0.000000	
 3 	 8																		0.033927																	-0.033927																																																																																																																																				0.000000	
 3 	 9																		0.020356																	-0.020356																																																																																																																																				0.000000	
 3 	 10																		0.016963																	-0.016963																																																																																																																																				0.000000	
 3 	 11																		0.020356																	-0.020356																																																																																																																																				0.000000	
 3 	 12																		0.000000																	0.000000																																																																																																																																				0.000000	
