Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																															0.407745							1.986460																																																									0.000000	0.022223																			0.000000	0.110019																			-2.526447	
 1 	 2																																																															0.407745							1.986460																																																									0.000000	0.022461																			0.000000	0.111179																			-2.527844	
 1 	 3																																																															0.407745							1.986460																																																									0.000000	0.025414																			0.000000	0.125581																			-2.545201	
 1 	 4																																																															0.407745							1.986460																																																									0.000000	0.026216																			0.000000	0.129491																			-2.549913	
 1 	 5																																																															0.407745							1.986460																																																									0.000000	0.027881																			0.000000	0.137605																			-2.559691	
 1 	 6																																																															0.407745							1.986460																																																									0.000000	0.027255																			0.000000	0.134554																			-2.556014	
 1 	 7																																																															0.407745							1.986460																																																									0.000000	0.025865																			0.000000	0.127779																			-2.547850	
 1 	 8																																																															0.407745							1.986460																																																									0.000000	0.017154																			0.000000	0.085304																			-2.496664	
 1 	 9																																																															0.407745							1.986460																																																									0.000000	0.005501																			0.000000	0.028487																			-2.428194	
 1 	 10																																																															0.407745							1.986460																																																									-0.006590	0.000000																			-0.030469	0.000000																			-2.357147	
 1 	 11																																																															0.407745							1.986460																																																									-0.016266	0.000000																			-0.077646	0.000000																			-2.300293	
 1 	 12																																																															0.407745							1.986460																																																									-0.023425	0.000000																			-0.112554	0.000000																			-2.258227	
 1 	 13																																																															0.407745							1.986460																																																									-0.027756	0.000000																			-0.133671	0.000000																			-2.232778	
 1 	 14																																																															0.407745							1.986460																																																									-0.030421	0.000000																			-0.146668	0.000000																			-2.217116	
 1 	 15																																																															0.407745							1.986460																																																									-0.029395	0.000000																			-0.141665	0.000000																			-2.223145	
 1 	 16																																																															0.407745							1.986460																																																									-0.024601	0.000000																			-0.118289	0.000000																			-2.251315	
 1 	 17																																																															0.407745							1.986460																																																									-0.020508	0.000000																			-0.098331	0.000000																			-2.275366	
 1 	 18																																																															0.407745							1.986460																																																									-0.017217	0.000000																			-0.082283	0.000000																			-2.294706	
 1 	 19																																																															0.407745							1.986460																																																									-0.013674	0.000000																			-0.065010	0.000000																			-2.315522	
 1 	 20																																																															0.407745							1.986460																																																									-0.010031	0.000000																			-0.047250	0.000000																			-2.336924	
 1 	 21																																																															0.407745							1.986460																																																									-0.006553	0.000000																			-0.030288	0.000000																			-2.357364	
 1 	 22																																																															0.407745							1.986460																																																									-0.004136	0.000000																			-0.018505	0.000000																			-2.371564	
 1 	 23																																																															0.407745							1.986460																																																									-0.002159	0.000000																			-0.008865	0.000000																			-2.383181	
 1 	 24																																																															0.407745							1.986460																																																									0.000000	0.000720																			0.000000	0.005171																			-2.400096	
 2 	 1																																																															0.152861							1.362177																																																									0.000000	0.179954																			0.000000	0.260591																			-1.955583	
 2 	 2																																																															0.407745							1.406670																																																									-0.065806	0.000000																			0.000000	0.260591																			-2.009201	
 2 	 3																																																															0.407745							1.453662																																																									-0.056168	0.000000																			0.000000	0.260591																			-2.065830	
 2 	 4																																																															0.407745							1.538811																																																									-0.045767	0.000000																			0.000000	0.226157																			-2.126946	
 2 	 5																																																															0.407745							1.809521																																																									-0.036630	0.000000																			0.000000	0.000000																			-2.180637	
 2 	 6																																																															0.366451							1.752824																																																									-0.006963	0.000000																			0.000000	0.000000																			-2.112312	
 2 	 7																																																															0.046284							1.551734																																																									0.000000	0.271962																			0.000000	0.000000																			-1.869981	
 2 	 8																																																															0.271634							1.324459																																																									0.000000	0.000000																			0.000000	0.000000																			-1.596093	
 2 	 9																																																															0.228339							1.113357																																																									0.000000	0.000000																			0.000000	0.000000																			-1.341696	
 2 	 10																																																															0.283697							0.942046																																																									-0.090492	0.000000																			0.000000	0.000000																			-1.135251	
 2 	 11																																																															0.167534							0.816879																																																									0.000000	0.000000																			0.000000	0.000000																			-0.984414	
 2 	 12																																																															0.407745							0.728719																																																									-0.258292	0.000000																			0.000000	0.000000																			-0.878173	
 2 	 13																																																															0.139505							0.680213																																																									0.000000	0.000000																			0.000000	0.000000																			-0.819718	
 2 	 14																																																															0.407745							0.688898																																																									-0.266459	0.000000																			0.000000	0.000000																			-0.830184	
 2 	 15																																																															0.407745							0.742182																																																									-0.255531	0.000000																			0.000000	0.000000																			-0.894397	
 2 	 16																																																															0.407745							0.835732																																																									-0.236344	0.000000																			0.000000	0.000000																			-1.007133	
 2 	 17																																																															0.225124							1.053975																																																									-0.008964	0.000000																			0.000000	0.000000																			-1.270136	
 2 	 18																																																															0.000499							1.328489																																																									0.000000	0.271962																			0.000000	0.000000																			-1.600949	
 2 	 19																																																															0.017295							1.410388																																																									0.000000	0.271962																			0.000000	0.000000																			-1.699645	
 2 	 20																																																															0.028798							1.466472																																																									0.000000	0.271962																			0.000000	0.000000																			-1.767232	
 2 	 21																																																															0.058263							1.762284																																																									0.000000	0.249919																			-0.259620	0.000000																			-1.810847	
 2 	 22																																																															0.380054							1.789556																																																									-0.066478	0.000000																			-0.260591	0.000000																			-1.842542	
 2 	 23																																																															0.407745							1.794073																																																									-0.093243	0.000000																			-0.260591	0.000000																			-1.847985	
 2 	 24																																																															0.407745							1.788031																																																									-0.094482	0.000000																			-0.260591	0.000000																			-1.840703	
 3 	 1																																																															0.000000							0.533459																																																									0.000000	0.162852																			0.000000	0.260591																			-0.956903	
 3 	 2																																																															0.078014							0.542493																																																									0.000000	0.086691																			0.000000	0.260591																			-0.967788	
 3 	 3																																																															0.165769							0.547682																																																									0.000000	0.000000																			0.000000	0.260591																			-0.974042	
 3 	 4																																																															0.171952							0.612260																																																									0.000000	0.000000																			0.000000	0.226157																			-1.010369	
 3 	 5																																																															0.164805							0.803570																																																									0.000000	0.000000																			0.000000	0.000000																			-0.968375	
 3 	 6																																																															0.117983							0.575273																																																									0.000000	0.000000																			0.000000	0.000000																			-0.693256	
 3 	 7																																																															0.071981							0.350972																																																									0.000000	0.000000																			0.000000	0.000000																			-0.422953	
